|  a |  b |  c | Clk | function    | Rating   | Notes
|----|----|----|-----|-------------|----------|-------------------
|  1 |  1 | 14 |  26 | xor16_11e() | Terrible |
|  1 |  1 | 15 |  28 | xor16_11f() | Terrible |
|  1 |  5 |  2 |  37 | xor16_152() | V. poor  |
|  1 |  7 |  4 |  36 | xor16_174() | V. good  | Recommended
|  1 |  7 | 11 |  30 | xor16_17b() | V. good  | Recommended
|  1 | 11 |  3 |  31 | xor16_1b3() | Okay     |
|  1 | 15 |  6 |  36 | xor16_1f6() | Terrible |
|  1 | 15 |  7 |  29 | xor16_1f7() | Terrible |
|  2 |  5 |  1 |  37 | xor16_251() | Terrible |
|  2 |  5 | 13 |  37 | xor16_25d() | V. poor  |
|  2 |  5 | 15 |  36 | xor16_25f() | Terrible |
|  2 |  7 | 13 |  32 | xor16_27d() | V. poor  |
|  2 |  7 | 15 |  31 | xor16_27f() | Terrible |
|  3 |  1 | 12 |  30 | xor16_31c() | Terrible |
|  3 |  1 | 15 |  30 | xor16_31f() | Terrible |
|  3 |  5 | 11 |  39 | xor16_35b() | V. good  | Recommended
|  3 | 11 |  1 |  31 | xor16_3b1() | Okay     |
|  3 | 11 | 11 |  31 | xor16_3bb() | V.good   |
|  3 | 13 |  9 |  29 | xor16_3d9() | V. good  | Recommended
|  4 |  3 |  7 |  40 | xor16_437() | V. good  | Recommended
|  4 |  7 |  1 |  36 | xor16_471() | Good     |
|  4 | 11 | 11 |  33 | xor16_4bb() | V. good  | Recommended
|  5 |  7 | 14 |  39 | xor16_57e() | V. poor  |
|  5 |  9 |  8 |  30 | xor16_598() | V. good  | Recommended
|  5 | 11 |  6 |  45 | xor16_5b6() | Okay     |
|  5 | 11 | 11 |  35 | xor16_5bb() | V. poor  |
|  6 |  7 | 13 |  40 | xor16_67d() | V. poor  |
|  6 | 11 |  5 |  45 | xor16_6b5() | Okay     |
|  6 | 15 |  1 |  36 | xor16_6f1() | Terrible |
|  7 |  1 | 11 |  30 | xor16_71b() | Terrible |
|  7 |  3 |  4 |  40 | xor16_734() | V. good  | Recommended
|  7 |  9 |  8 |  25 | xor16_798() | Okay     |
|  7 |  9 | 13 |  28 | xor16_79c() | Okay     |
|  7 | 15 |  1 |  29 | xor16_7f1() | Terrible |
|  8 |  9 |  5 |  30 | xor16_895() | V. good  | Recommended
|  8 |  9 |  7 |  25 | xor16_897() | Okay     |
|  9 |  7 | 13 |  28 | xor16_97d() | Good     |
|  9 | 13 |  3 |  29 | xor16_9d3() | V. good  | Recommended
| 11 |  1 |  7 |  30 | xor16_b17() | Terrible |
| 11 |  3 | 13 |  31 | xor16_b3d() | Good     |
| 11 |  5 |  3 |  39 | xor16_b53() | V.Good   |
| 11 |  7 |  1 |  30 | xor16_b71() | V. good  | Recommended
| 11 | 11 |  3 |  31 | xor16_bb3() | Good     |
| 11 | 11 |  4 |  33 | xor16_bb4() | V. good  | Recommended
| 11 | 11 |  5 |  35 | xor16_bb5() | V. poor  |
| 12 |  1 |  3 |  30 | xor16_c13() | Terrible |
| 12 |  3 | 13 |  30 | xor16_c3d() | Good     |
| 13 |  3 | 11 |  31 | xor16_d3b() | V. good  | Recommended
| 13 |  3 | 12 |  30 | xor16_d3c() | Good     |
| 13 |  5 |  2 |  37 | xor16_d52() | V. poor  |
| 13 |  7 |  2 |  32 | xor16_d72() | V. poor  |
| 13 |  7 |  6 |  40 | xor16_d76() | V. poor  |
| 13 |  7 |  9 |  28 | xor16_d79() | Good     |
| 13 |  9 |  7 |  28 | xor16_c97() | Okay     |
| 14 |  1 |  1 |  26 | xor16_e11() | Terrible |
| 14 |  7 |  5 |  39 | xor16_e75() | Good     |
| 15 |  1 |  1 |  28 | xor16_f11() | Terrible |
| 15 |  1 |  3 |  30 | xor16_f13() | Terrible |
| 15 |  5 |  2 |  36 | xor16_f52() | V. poor  |
| 15 |  7 |  2 |  31 | xor16_f72() | V. poor  |
